Variable,Label,Description,Format Text,Category
cen,Institution,"A two character code, randomly assigned to each study center, in order to mask the identity of the centers.",Character,Study
ct_selected,Selected for CT Image Population,,"0=""No"" 1=""Yes""",Study
dataset_version,Date Stamp for Datasets,,"Char, 23",Study
elig,Is participant eligible?,"Was the participant eligible for the NLST trial? See the entry for ""ineligible"" for a list of eligibility criteria.","0=""Ineligible Participant Randomized"" 2=""Eligible Participant""",Study
ineligible,Reason for ineligibility,"To be eligible, a participant must be 55-74 years of age on the date of randomization, a current smoker or a former smoker who quit smoking within the last 15 years, and have smoked at least 30 pack-years. Participants are ineligible if they do not meet those criteria, or if they meet any of the other exclusion criteria listed as reasons for ineligiblity in the format for this variable.",".N=""Not ineligible"" 1=""Age <55 or >74 yrs"" 2=""Non-smoker or quit > 15 years"" 3=""Insufficient pack years"" 4=""CT within 18 months of enrollment"" 5=""Participant in another cancer screening trial"" 6=""Participant in another cancer prevention trial"" 7=""Previous Lung Cancer"" 8=""Portion of lung removed"" 9=""Cancer within past 5 years"" 10=""Physical impairments to screening"" 11=""Metallic implants"" 12=""Home oxygen"" 13=""Unexplained weight loss or Hemoptysis"" 14=""Recent antibiotics use""",Study
pid,Participant Identifier,"A unique identifier given to each participant. For LSS participants, pid has a format of 1xx,xxx, while for ACRIN participants, pid has a format of 2xx,xxx.",Numeric,Study
rndgroup,Study arm,"The study arm to which the participant was randomized. Each participant was randomly assigned to either the spiral CT or X-ray arm. Because X-ray screening has been studied in other trials, the X-ray arm represents the control arm for determining the effectiveness of spiral CT screening.","1=""Spiral CT"" 2=""X-ray""",Study
scr_group,Case Group Status,Group status for CT image population.,"1=""Screen-Detected Lung Cancers"" 2=""Has Nodule(s), No Lung Cancer"" 3=""Screened, No Nodule(s), No Lung Cancer"" 4=""Never Screened, No Lung Cancer"" 5=""All Non Screen-Detected Lung Cancers""",Study
study,Which study is the participant enrolled on?,"The component study to which the participant belonged. The National Lung Screening Trial (NLST) is composed of two component studies conducted by the Lung Screening Study group (LSS) and the American College of Radiology Imaging Network (ACRIN). ACRIN had some centers that collected biomarkers, while others did not.","1=""LSS"" 2=""ACRIN biomarkers"" 3=""ACRIN no biomarkers""",Study
age,Age at randomization (in years; whole number),,Numeric,Demographic
educat,Level of education completed,,"1=""8th grade or less"" 2=""9th-11th grade"" 3=""High school graduate/GED"" 4=""Post high school training, excluding college"" 5=""Associate degree/ some college"" 6=""Bachelors Degree"" 7=""Graduate School"" 8=""Other"" 95=""Missing data form - form is not expected to ever be completed"" 98=""Missing - form was submitted and the answer was left blank"" 99=""Unknown/ decline to answer""",Demographic
ethnic,Ethnicity,Is the participant of Hispanic/Latino heritage? Self-reported at entry.,"1=""Hispanic or Latino"" 2=""Neither Hispanic nor Latino"" 7=""Participant refused to answer"" 95=""Missing data form - form is not expected to ever be completed"" 98=""Missing - form was submitted and the answer was left blank"" 99=""Unknown/ decline to answer""",Demographic
gender,Gender,,"1=""Male"" 2=""Female""",Demographic
height,Height in inches,Height of the participant in inches as self-reported at the start of the trial.,"Numeric .M=""Missing""",Demographic
